2012-10-16 23:01:11 startup archives install
2012-10-16 23:01:11 install base-files:armhf <none> 6.5ubuntu11
2012-10-16 23:01:11 status half-installed base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 install base-passwd:armhf <none> 3.5.26
2012-10-16 23:01:12 status half-installed base-passwd:armhf 3.5.26
2012-10-16 23:01:12 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:12 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:12 configure base-passwd:armhf 3.5.26 3.5.26
2012-10-16 23:01:12 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:12 status half-configured base-passwd:armhf 3.5.26
2012-10-16 23:01:12 status installed base-passwd:armhf 3.5.26
2012-10-16 23:01:12 configure base-files:armhf 6.5ubuntu11 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status half-configured base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 status installed base-files:armhf 6.5ubuntu11
2012-10-16 23:01:12 startup archives install
2012-10-16 23:01:12 upgrade dpkg 1.16.7ubuntu6 1.16.7ubuntu6
2012-10-16 23:01:12 status half-configured dpkg 1.16.7ubuntu6
2012-10-16 23:01:12 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:12 status half-installed dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status half-installed dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 configure dpkg 1.16.7ubuntu6 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status unpacked dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status half-configured dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 status installed dpkg 1.16.7ubuntu6
2012-10-16 23:01:13 startup archives install
2012-10-16 23:01:13 install libc6:armhf <none> 2.15-0ubuntu20
2012-10-16 23:01:13 status half-installed libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:14 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:14 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:14 configure libc6:armhf 2.15-0ubuntu20 2.15-0ubuntu20
2012-10-16 23:01:14 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:14 status unpacked libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:14 status half-configured libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:15 status installed libc6:armhf 2.15-0ubuntu20
2012-10-16 23:01:15 startup archives install
2012-10-16 23:01:15 install perl-base:armhf <none> 5.14.2-13
2012-10-16 23:01:15 status half-installed perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 status unpacked perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 status unpacked perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 configure perl-base:armhf 5.14.2-13 5.14.2-13
2012-10-16 23:01:16 status unpacked perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 status half-configured perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 status installed perl-base:armhf 5.14.2-13
2012-10-16 23:01:16 startup archives install
2012-10-16 23:01:16 install mawk:armhf <none> 1.3.3-17
2012-10-16 23:01:16 status half-installed mawk:armhf 1.3.3-17
2012-10-16 23:01:16 status unpacked mawk:armhf 1.3.3-17
2012-10-16 23:01:16 status unpacked mawk:armhf 1.3.3-17
2012-10-16 23:01:16 configure mawk:armhf 1.3.3-17 1.3.3-17
2012-10-16 23:01:16 status unpacked mawk:armhf 1.3.3-17
2012-10-16 23:01:16 status half-configured mawk:armhf 1.3.3-17
2012-10-16 23:01:16 status installed mawk:armhf 1.3.3-17
2012-10-16 23:01:16 startup archives unpack
2012-10-16 23:01:17 install adduser:all <none> 3.113+nmu1ubuntu1
2012-10-16 23:01:17 status half-installed adduser:all 3.113+nmu1ubuntu1
2012-10-16 23:01:20 status unpacked adduser:all 3.113+nmu1ubuntu1
2012-10-16 23:01:20 status unpacked adduser:all 3.113+nmu1ubuntu1
2012-10-16 23:01:20 upgrade base-files:armhf 6.5ubuntu11 6.5ubuntu11
2012-10-16 23:01:20 status half-configured base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 status half-installed base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 status half-installed base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 status unpacked base-files:armhf 6.5ubuntu11
2012-10-16 23:01:20 upgrade base-passwd:armhf 3.5.26 3.5.26
2012-10-16 23:01:20 status half-configured base-passwd:armhf 3.5.26
2012-10-16 23:01:20 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:20 status half-installed base-passwd:armhf 3.5.26
2012-10-16 23:01:20 status half-installed base-passwd:armhf 3.5.26
2012-10-16 23:01:20 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:20 status unpacked base-passwd:armhf 3.5.26
2012-10-16 23:01:20 install bash:armhf <none> 4.2-5ubuntu1
2012-10-16 23:01:20 status half-installed bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 status unpacked bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 status unpacked bash:armhf 4.2-5ubuntu1
2012-10-16 23:01:21 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu2
2012-10-16 23:01:21 install busybox-initramfs:armhf <none> 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status half-installed busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 status unpacked busybox-initramfs:armhf 1:1.19.3-7ubuntu1
2012-10-16 23:01:21 install coreutils:armhf <none> 8.13-3.2ubuntu2
2012-10-16 23:01:21 status half-installed coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 status unpacked coreutils:armhf 8.13-3.2ubuntu2
2012-10-16 23:01:21 install cpio:armhf <none> 2.11-8ubuntu3
